cian_id,city,street,lat,lon,price_sq,area,floor,kitchen_area,bathroom_type,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,house_wall_type,lifts,freight_lifts,time_on_foot_to_subway,build_year
295758505,Москва,Шоссейная улица,55.690567,37.728559,271341.463414634,32.8,6,6.8,Совмещенный,,Косметический,False,1,2.7,9,,1,,3,
295762208,Москва,улица Академика Павлова,55.747743,37.403863,385714.285714286,35,1,0,Совмещенный,0,Косметический,False,1,2.7,9,,1,1,4,1972
295767980,Москва,Широкая улица,55.890542,37.668273,281818.181818182,33,5,8,Совмещенный,0,Косметический,False,1,2.7,9,,1,,6,1969
295796686,Москва,Самаркандский бульвар,55.698807,37.820843,293333.333333333,33,4,6,Совмещенный,1,Косметический,False,1,2.7,5,,0,0,6,1970
294709322,Москва,Ферганский проезд,55.697539,37.826637,226586.102719033,33.1,1,7,Раздельный,0,Без ремонта,,1,2.7,12,,1,,8,1969
283050478,Москва,улица Охотничья,55.795256,37.686204,371428.571428571,35,3,6.3,Совмещенный,,Без ремонта,False,1,2.7,9,,1,,5,1972
295044798,Москва,Инициативная улица,55.717558,37.459406,319230.769230769,26,8,6,Совмещенный,,Без ремонта,False,1,2.7,9,,1,,4,1973
295177741,Москва,улица Островитянова,55.634812,37.539715,285714.285714286,34.3,4,6,Совмещенный,0,Без ремонта,False,1,2.7,9,,1,0,15,1972
295437123,Москва,Снайперская улица,55.721087,37.813809,228228.228228228,33.3,1,6.8,Совмещенный,0,Без ремонта,False,1,2.7,9,,1,0,9,1970
295735423,Москва,улица Бехтерева,55.621836,37.648708,352343.75,32,4,5,Совмещенный,1,Без ремонта,,1,2.7,5,,,,4,1967
292297686,Москва,Сумской проезд,55.631915,37.597369,270655.270655271,35.1,4,6.4,Раздельный,0,Без ремонта,False,1,2.7,9,,1,0,5,1970
292311184,Москва,улица Лесная,55.526317,37.21952,188178.913738019,31.3,4,0,Раздельный,1,Без ремонта,False,1,2.7,5,,,,20,1981
292681794,Москва,Волгоградский проспект,55.733462,37.671112,430769.230769231,26,9,13,Раздельный,0,Без ремонта,False,1,2.7,13,,2,0,4,1968
293137100,Москва,Открытое шоссе,55.82305,37.751484,338607.594936709,31.6,3,6,Раздельный,0,Без ремонта,,1,2.7,5,,,,17,1994
293475516,Москва,,55.409988,37.187854,182352.941176471,34,5,8,Раздельный,,Без ремонта,False,1,2.7,5,,,,,1995
